Protein1	Protein2	Interaction	Prediction
Bx_tlp_1_5	pdb2lo0	0	nan
BxATG1_1	pdb2l05	0	0.007
A0A1I7S5S3_BURXY	pdb7jyz	0	0.019
A0A1I7RJ71_BURXY	pdb2lek	0	0
Bx_cpl_3_4	pdb2l7q	1	0.94
BxSapB1_3	pdb1qyc	0	nan
Bx_cpl_2_4	pdb2m47	0	0.2
Bx_cpl_3_3	pdb2lq3	1	0.863
BxSapB1_2	6dxa	0	nan
BxATG16_3	pdb2lok	1	0.961
I4N5X7_9PSED	pdb2krt	0	0.005
A0A1I7SF60_BURXY	pdb5nce	0	0
BxATG1_4	pdb6pqe	0	0
BxSapB1	pdb2lx7	1	0.972
BxPel1_5	pdb6psi	0	nan
A0A1I7RKV3_BURXY	pdb2lze	0	0
BxCYP33C4_2	pdb2l07	0	0.228
BxATG9_3	pdb2l82	0	0.023
Bx_cpl_3_2	pdb2l05	0	0
I0QWV1_9GAMM	pdb2kt7	0	0.051
BxPel1_1	pdb2lnu	0	0
I0QYY0_9GAMM	pdb2n69	1	0.831
SapB3_3	pdb2mbl	0	0.287
A0A1I7RYC6_BURXY	pdb2l82	0	0.018
BxATG16_1	pdb2lch	0	0
BxCYP33D3_2	pdb2kt7	0	0
Bx_tlp_1_1	pdb6nzl	0	0.016
BxPel1_5	pdb2n3j	0	nan
BxCYP33C9_1	pdb2kl3	0	0.243
Bx_cpl_1_3	pdb2m16	0	0.001
BxATG16	pdb2kpn	1	0.972
Bx_Prx_4	pdb2n69	0	0.008
cyp_33C9_5	pdb2kw2	0	0.301
BxCYP33D3_5	pdb2lak	0	0.21
I0QNP5_9GAMM	pdb7jyn	0	0.101
BxCYP33D3_1	pdb7lu8	0	0.01
BxPel1_4	pdb5kp0	0	0.003
cyp_33C9_3	pdb6cgh	0	0.329
BxATG8_1	pdb5ks6	0	0
Bx_cpl_3_3	pdb6kna	1	0.93
A0A1I7RKV3_BURXY	pdb7jyz	0	0
cyp_33C9_5	pdb5ks6	0	0.245
Bx_cpl_2_5	pdb2ljw	0	0.313
A0A1I7SF60_BURXY	pdb2kw6	0	0
A0A7I8WZ01_BURXY	pdb2l07	0	0.001
Bx_cpl_3_1	2kyq	1	0.58
BxATG1_2	pdb6wlf	0	nan
Bx_tlp_1_4	pdb6j4i	1	0.93
Bx_Prx_5	pdb2lv2	0	0.498
A0A1I7RJ71_BURXY	pdb7c1m	0	nan
BxCYP33D3_3	pdb7x5c	1	0.583
A0A1I7RIV0_BURXY	pdb2lcg	0	0.005
A0A1I7S162_BURXY	pdb2llf	0	0.002
A0A1I7S5S3_BURXY	pdb2lf2	0	0.005
Bx_tlp_1_2	pdb6xry	0	0.152
Bx_cpl_1_2	pdb6xrg	0	0.043
I4N5T3_9PSED	pdb6j4i	0	0.074
SapB3_4	pdb2n75	0	0.002
Bx_cpl_1_2	pdb6ppt	0	0.007
A0A1I7S9L6_BURXY	2lla	0	0
A0A1I7RL37_BURXY	pdb2kvo	0	0.347
BxCYP33C4_2	pdb6o6w	0	0.063
A0A1I7RL98_BURXY	pdb6xr7	0	0
A0A1I7S161_BURXY	pdb6j4i	0	0
BxCYP33C9_3	pdb8s9c	0	nan
Bx_cpl_2_3	pdb7jyz	1	0.556
I4N8B0_9PSED	pdb2krt	0	0.054
BxSapB1	pdb2lq3	1	0.962
BxATG1_3	pdb5uke	0	0.083
BxSapB1_2	pdb2lv2	1	0.578
SapB3_5	pdb8c29	0	nan
BxATG1_3	pdb6j4i	0	0.074
BxCYP33D3_4	pdb2lni	0	0.099
BxPel1_1	2kcx	0	0
I4N4Q3_9PSED	pdb7wcg	0	0.002
BxCYP33C4_4	pdb6iwj	0	nan
BxPel1_4	pdb2kwb	0	0.007
A0A1I7S5S3_BURXY	2kyq	0	0.019
cyp_33C9_1	pdb2l9p	1	0.914
A0A7I8WZ01_BURXY	pdb2kim	0	0
BxCYP33D3_1	pdb3hbh	0	0.005
A0A1I7RIV0_BURXY	pdb2kt1	0	0.007
BxATG8_1	pdb6j4i	0	0
A0A1I7S9L6_BURXY	pdb2n66	0	0
BxCYP33C4_1	pdb5kp0	0	0.12
Bx_cpl_3_4	pdb2nt1	0	nan
Bx_cpl_1_2	pdb5ks6	0	0.013
A0A1I7S161_BURXY	pdb8s9c	0	nan
A0A1I7RKM9_BURXY	pdb7lns	0	0.454
BxATG16_3	pdb2kzw	1	0.918
A0A1I7RL37_BURXY	pdb8ftx	1	0.574
BxATG1_5	pdb5krw	0	0.087
Bx_Prx_2	2kyq	0	0.077
BxATG16_2	pdb2mm6	0	0.003
SapB3_2	pdb2kz5	0	0.039
BxPel1_1	pdb2m1l	0	nan
Bx_cpl_2_4	pdb7x5c	0	0.164
I0QQT8_9GAMM	pdb2ljl	0	0.014
BxATG8_3	pdb2lx7	0	0.002
Bx_cpl_1_4	pdb6pri	0	0.008
BxATG8_4	pdb2ko1	0	nan
BxCYP33D3_3	pdb5zau	1	0.728
Bx_tlp_1_3	pdb2l7q	1	0.95
A0A1I7RT14_BURXY	pdb2n3j	0	nan
Bx_cpl_1_3	pdb2kvo	0	0
Bx_cpl_3_1	pdb2loy	0	0.335
A0A1I7S9L6_BURXY	pdb2lk2	0	0
A0A7I8X2Z5_BURXY	pdb2ma6	0	0.001
Bx_cpl_3_5	pdb6xry	0	0.268
A0A7I8WZ01_BURXY	pdb2l3f	0	0.001
BxSapB1_4	pdb5z55	0	0.063
Bx_cpl_2_4	pdb2n76	0	0.17
I4MYK4_9PSED	pdb2lak	0	0.035
I0QNP5_9GAMM	pdb2kvo	0	0.02
BxCYP33D3_3	pdb1xes	0	nan
Bx_Prx_2	pdb3sdu	0	0.028
BxCYP33C4_5	pdb6pq2	1	0.688
A0A1I7RJ71_BURXY	pdb2mh2	0	0
BxSapB1_2	pdb2loy	1	0.659
BxATG9_1	pdb6nzl	0	0
BxSapB1_4	2kl7	0	0.284
Bx_tlp_1_2	pdb2lcg	0	0.066
I0QNP5_9GAMM	pdb8c29	0	nan
A0A1I7SF60_BURXY	pdb2lio	0	0
Bx_Prx_1	pdb2n76	0	0.074
A0A1I7SCF8_BURXY	pdb6xrg	1	0.988
BxCYP33C9_5	pdb2m1l	0	nan
Bx_cpl_2_3	pdb6ppt	0	0.161
I0QYY0_9GAMM	pdb6pqm	1	0.889
A0A1I7RKV3_BURXY	pdb2mv0	0	0
Bx_cpl_1_4	pdb2lf2	0	0.008
I0QWV1_9GAMM	2lla	0	0.089
Bx_Prx_1	pdb7knv	0	0.15
BxCYP33D3_3	pdb3sdu	1	0.738
I4N4M3_9PSED	pdb2mm6	0	0.001
SapB3_4	pdb7jyz	0	0.011
A0A7I8WZ01_BURXY	pdb7qcc	0	0
Bx_cpl_2_1	pdb7m5t	0	0.063
Bx_Prx_5	pdb6prq	1	0.567
Bx_cpl_1_3	pdb2llf	0	0.001
I0QM84_9GAMM	pdb2lnu	0	0.145
I0QNA0_9GAMM	6dxa	0	nan
Bx_cpl_1_3	pdb2n69	0	0
BxCYP33C4_4	pdb2kzv	0	0.001
I4N5X7_9PSED	2lla	0	0.006
BxCYP33C9_4	pdb5ks6	0	0
BxCYP33C9_1	pdb2lw4	0	0.308
Bx_Prx_3	pdb2m8x	0	0.254
BxATG9_4	pdb6cgh	0	0.046
I4N5X7_9PSED	pdb3sdq	0	0.004
BxCYP33D3_5	pdb2lek	0	0.265
A0A1I7RJ71_BURXY	pdb2lnb	0	0
BxCYP33C4_3	pdb2lna	0	0.182
Bx_Prx_1	pdb6jxu	0	0.103
Bx_Prx_5	pdb5zau	1	0.562
I0QQT8_9GAMM	pdb2krt	0	0.021
A0A1I7RKM9_BURXY	pdb2l3f	1	0.532
Bx_cpl_3_3	pdb6cgh	1	0.915
BxATG1_4	pdb2kzv	0	0
A0A1I7SCA3_BURXY	pdb2kt1	0	0
I4N8B0_9PSED	pdb3sae	0	0.038
I4N8B0_9PSED	pdb2kwb	0	0.046
BxPel1_5	pdb2mk2	0	0.314
BxCYP33C9_4	pdb3hbd	0	0
A0A1I7S162_BURXY	pdb6prq	0	0.002
SapB3_3	pdb2kkq	0	0.312
BxATG9_4	pdb7mzz	0	0.037
BxATG1_3	pdb6jxu	0	0.074
BxATG9_2	pdb8ftx	0	0.267
Bx_cpl_1_4	pdb2l0c	0	0.007
BxATG8_1	pdb3sdt	0	0
A0A1I7SCF8_BURXY	pdb6pqe	1	0.966
A0A060N411_BURMU	pdb2kw6	0	0.001
A0A1I7RJ71_BURXY	pdb6xr7	0	0
A0A1I7RT14_BURXY	pdb7n99	0	0.002
I0QNP5_9GAMM	pdb2kwb	0	0.045
A0A1I7RJ71_BURXY	pdb6xry	0	0
A0A1I7RIV0_BURXY	pdb2kz5	0	0.004
BxATG16_1	pdb2luz	0	0
A0A1I7RKM9_BURXY	pdb2kw6	0	0.287
BxATG8_3	pdb2kzw	0	0.002
I0QNA0_9GAMM	pdb3hbd	0	0.009
BxATG8_2	pdb7lu8	0	0.022
A0A1I7S162_BURXY	pdb6kna	0	0.003
BxCYP33D3_1	pdb2mbl	0	0.004
A0A1I7RT14_BURXY	pdb2lml	0	0.001
BxCYP33D3_1	pdb2m8x	0	0.004
BxCYP33C9_2	pdb2kt7	0	0.445
cyp_33C9_1	pdb6tfb	0	nan
BxATG8_4	pdb3sae	0	0
BxCYP33C4_5	pdb2lgh	1	0.665
BxSapB1_4	pdb2kt1	0	0.193
BxPel1_2	pdb2lek	0	0.014
Bx_tlp_1_3	pdb2l0c	1	0.92
BxATG16_1	pdb6xr6	0	0
A0A1I7SCF8_BURXY	pdb2ksh	1	0.977
SapB3_5	pdb2ltl	0	0.344
I0QNP5_9GAMM	pdb2lna	0	0.024
BxCYP33C4_2	pdb2kkq	0	0.077
I0QNA0_9GAMM	pdb6nzl	0	0.007
I0QQT8_9GAMM	pdb7jyn	0	0.041
SapB3_1	pdb3sdt	0	0.045
A0A1I7RYC6_BURXY	pdb6xr6	0	0.044
BxPel1_2	pdb2lnz	0	nan
I4N4Q3_9PSED	pdb2ltl	0	0.002
A0A1I7RJ71_BURXY	pdb2lxu	0	0
I4N5T3_9PSED	pdb3sae	0	0.097
I4N4Q3_9PSED	pdb5vso	0	0.001
Bx_tlp_1_5	pdb2lmd	1	0.893
BxATG16_1	pdb7wcg	0	0
A0A7I8X2Z5_BURXY	pdb3sdv	0	0.001
SapB3_2	pdb2kzv	0	0.018
A0A1I7S6H9_BURXY	7mzw	0	0.136
Bx_cpl_1_3	pdb2lq3	0	0
Bx_cpl_1_4	pdb5nce	0	0.01
A0A1I7S161_BURXY	pdb8ubh	0	0
BxPel1_3	2kl7	0	0.009
Bx_cpl_1_5	pdb2kru	0	0.314
SapB3_2	pdb2l9p	0	0.045
BxPel1_5	pdb2kt1	0	0.218
BxATG1_2	pdb2lfi	0	0
Bx_cpl_3_2	2kl7	0	0
A0A1I7RKM9_BURXY	pdb3sdt	0	0.422
BxCYP33D3_5	pdb6pri	0	0.266
BxCYP33D3_2	pdb2l8v	0	0
A0A1I7SF60_BURXY	pdb6xr6	0	0
Bx_cpl_2_2	pdb7m5t	0	0.287
BxATG8_2	pdb8s9c	0	nan
cyp_33C9_3	pdb6jxu	0	0.276
BxCYP33C4_5	pdb2ksh	1	0.784
SapB3_5	pdb2kl6	0	0.288
BxSapB1	pdb6ppt	1	0.952
BxCYP33C4_5	pdb2kw6	1	0.582
cyp_33C9_5	pdb6cgh	0	0.275
A0A1I7SCF8_BURXY	pdb6jxw	1	0.956
cyp_33C9_3	pdb5nce	0	0.325
BxATG8_1	pdb6tfb	0	nan
A0A7I8X2Z5_BURXY	pdb2n75	0	0.001
BxATG9_2	pdb2kw6	0	0.132
BxATG8_5	pdb2kt7	0	0
SapB3_1	pdb3hbe	0	0.024
BxATG16_5	pdb6ppt	0	0
BxATG8_5	pdb2kpn	0	0
BxCYP33C4_3	pdb5ks6	0	0.221
BxCYP33D3_3	pdb8ubh	1	0.813
I0QQT8_9GAMM	pdb2kpn	0	0.011
Bx_tlp_1_4	pdb2lnz	0	nan
BxSapB1_3	pdb2kt8	0	0.1
Bx_Prx_5	pdb3s9v	0	nan
BxATG8_2	pdb2luz	0	0.014
cyp_33C9_2	pdb5z55	1	0.828
I4N0B6_9PSED	pdb5vso	0	0.006
I4N4Q3_9PSED	pdb3sdt	0	0.003
Bx_cpl_3_1	pdb3hbe	0	0.203
I0QNP5_9GAMM	pdb7kix	0	0.053
BxATG16_2	pdb5ks6	0	0.005
BxPel1_2	pdb6prj	0	0.012
A0A7I8X2Z5_BURXY	pdb6prp	0	0.002
BxATG16_2	pdb2ll8	0	0.004
SapB3_3	pdb1xes	0	nan
BxATG8_3	pdb5uke	0	0.003
Bx_cpl_1_2	pdb2lek	0	0.012
BxCYP33D3_2	pdb2lni	0	0
BxCYP33D3_1	pdb2l7q	0	0.01
Bx_tlp_1_4	pdb2kd1	1	0.951
BxATG8_2	pdb7lns	0	0.022
A0A1I7SCA3_BURXY	pdb2l0a	0	0
Bx_cpl_2_5	pdb2n66	0	0.261
Bx_cpl_2_1	pdb2lv2	0	0.042
A0A1I7RYC6_BURXY	pdb5zau	0	0.023
I0QNA0_9GAMM	pdb2kl6	0	0.009
BxATG8_1	pdb2n66	0	0
Bx_tlp_1_1	pdb2loy	0	0.038
BxPel1_3	pdb2l08	0	0.002
A0A1I7S412_BURXY	pdb2ma5	0	0
BxPel1_2	pdb7mzx	0	0.02
BxATG9_1	pdb2lmd	0	0
I0QQT8_9GAMM	pdb2l5q	0	0.02
BxPel1_3	pdb6jxu	0	0.003
cyp_33C9_3	pdb6ppt	0	0.185
Bx_cpl_2_2	pdb2l5q	0	0.326
BxPel1_5	pdb2l7q	0	0.18
Bx_cpl_2_3	pdb3hbh	0	0.21
Bx_tlp_1_5	pdb2mry	1	0.904
BxSapB1	pdb2lxu	1	0.972
BxCYP33C4_2	pdb6pri	0	0.108
BxATG8_1	pdb6cgh	0	0
Bx_cpl_3_5	pdb6amv	0	0.109
BxATG1_4	pdb2l0d	0	0
BxSapB1	pdb2kz5	1	0.974
Bx_cpl_3_3	pdb3sae	1	0.919
I4MYK4_9PSED	pdb2lio	0	0.047
BxATG1_3	pdb6prq	0	0.095
BxATG8_5	pdb3sae	0	0
Bx_Prx_3	pdb2mbm	0	0.254
A0A1I7SF60_BURXY	pdb2nt0	0	nan
BxCYP33C4_4	pdb2n75	0	0.002
BxCYP33C4_4	pdb2mbl	0	0.002
A0A1I7RIV0_BURXY	pdb2l5q	0	0.006
Bx_cpl_2_5	pdb7wcg	0	0.253
Bx_cpl_3_3	pdb2kl3	1	0.863
BxATG8_5	pdb2l82	0	0
Bx_cpl_3_5	pdb2lnb	0	0.076
BxATG1_4	pdb7n99	0	0
A0A1I7S412_BURXY	pdb2ll8	0	0
A0A1I7S9L6_BURXY	pdb2lmd	0	0
BxATG9_1	pdb2m8x	0	0
BxATG8_1	pdb6prq	0	0
A0A7I8X2Z5_BURXY	pdb3s9v	0	nan
A0A1I7RL37_BURXY	pdb5zau	0	0.493
BxSapB1_2	pdb2n66	0	0.49
BxSapB1	pdb2kl6	1	0.961
Bx_tlp_1_3	pdb2mv0	1	0.897
I4N4M3_9PSED	pdb6wlf	0	nan
I4N4Q3_9PSED	6dxa	0	nan
BxATG9_4	pdb6xr6	0	0.086
I4N8B0_9PSED	pdb2lgh	0	0.03
BxCYP33C4_2	pdb8ftw	0	0.173
BxCYP33C9_4	pdb2l0a	0	0
I0QWV1_9GAMM	pdb8c29	0	nan
Bx_cpl_2_2	pdb6e4h	0	nan
Bx_tlp_1_2	pdb2kzv	0	0.023
I0QM84_9GAMM	pdb2kt7	0	0.118
SapB3_4	pdb2ksi	0	0.006
BxCYP33C9_2	pdb2lni	1	0.505
A0A1I7RT14_BURXY	pdb2mbl	0	0.001
I0QNP5_9GAMM	pdb7qcc	0	0.019
I0QYY0_9GAMM	pdb2mry	1	0.831
SapB3_1	pdb2mm5	0	0.019
BxCYP33C9_3	pdb2kl6	0	0
SapB3_3	pdb6nzl	0	0.267
BxATG9_2	2kl7	0	0.397
BxCYP33D3_2	pdb7mzz	0	0
A0A1I7S162_BURXY	pdb2lfi	0	0.002
BxCYP33D3_3	pdb3sdr	1	0.737
SapB3_1	pdb2kru	0	0.064
BxCYP33C9_4	pdb7lns	0	0
Bx_Prx_3	pdb2lo0	0	nan
A0A1I7SF60_BURXY	pdb3hbd	0	0
BxCYP33C4_4	pdb7mzx	0	0.004
Bx_cpl_1_3	pdb2kzx	0	0.001
Bx_cpl_2_3	pdb5nce	0	0.286
BxATG16	pdb6nu4	1	0.953
BxCYP33C9_3	pdb2l0c	0	0
SapB3_2	pdb2mry	0	0.024
Bx_cpl_3_3	pdb2lml	1	0.873
I4MYK4_9PSED	pdb8ftw	0	0.078
cyp_33C9_1	pdb2l3f	1	0.944
cyp_33C9_4	pdb5zau	0	0.245
Bx_cpl_1_4	pdb8s9c	0	nan
BxATG8_2	pdb5kp0	0	0.01
BxATG16_3	pdb2ksi	1	0.969
BxPel1_5	pdb6e4j	0	0.126
A0A1I7S5S3_BURXY	pdb6prq	0	0.006
BxATG8_1	pdb2lcg	0	0.001
I0QNP5_9GAMM	pdb2ltl	0	0.027
I0QT18_9GAMM	pdb6xr7	0	0.044
A0A1I7RKV3_BURXY	pdb7wcg	0	0
BxCYP33C4_4	pdb3hbh	0	0.002
BxCYP33C9_5	pdb3sdu	0	0.103
BxATG8_2	pdb2mh2	0	0.023
Bx_tlp_1_4	pdb7jyz	1	0.981
A0A1I7RL98_BURXY	pdb2lni	0	0
I4N8B0_9PSED	pdb2lak	0	0.022
Bx_cpl_1_3	pdb2lna	0	0
I0QMH2_9GAMM	pdb5nce	0	0.447
Bx_cpl_3_4	pdb2m1l	0	nan
BxCYP33C4_4	pdb6nzl	0	0.002
I0QM84_9GAMM	pdb6lqz	0	0.062
Bx_tlp_1_2	pdb2mm5	0	0.026
BxATG9_2	pdb6o6w	0	0.108
Bx_Prx_1	pdb8c29	0	nan
I4N4M3_9PSED	pdb2mm5	0	0.001
BxCYP33C9_3	pdb2m8x	0	0
I4N5T3_9PSED	pdb6iwj	0	nan
Bx_tlp_1_3	pdb5uke	1	0.933
BxATG9_3	pdb2kzw	0	0.016
BxCYP33C4_2	pdb2mk2	0	0.273
BxSapB1	pdb2ll8	1	0.968
I4N4Q3_9PSED	pdb6nu4	0	0.002
BxATG9_3	pdb2l0a	0	0.021
BxSapB1	pdb2l5q	1	0.984
A0A1I7S5S3_BURXY	pdb2l05	0	0.008
BxCYP33C4_1	pdb2nsx	0	nan
I0QYY0_9GAMM	pdb2l9q	1	0.927
BxCYP33D3_3	pdb6pri	1	0.689
A0A1I7RIV0_BURXY	pdb3sdq	0	0.005
cyp_33C9_2	pdb2m47	1	0.883
Bx_tlp_1_2	pdb6prj	0	0.042
Bx_cpl_1_1	pdb2lnb	0	0.011
SapB3_2	pdb2l82	0	0.034
Bx_tlp_1_3	pdb2mbm	1	0.892
BxPel1_5	pdb2kkq	0	0.098
A0A1I7RL37_BURXY	pdb2lo0	0	nan
BxATG16	pdb6jxu	1	0.972
SapB3_3	pdb7lns	0	0.487
Bx_tlp_1_2	pdb2mm6	0	0.032
BxATG8_4	pdb7lns	0	0
I4N5X7_9PSED	pdb7x5c	0	0.002
BxATG8_3	pdb2kpn	0	0.002
BxATG16_2	pdb2l0d	0	0.004
cyp_33C9_2	7mzw	1	0.945
A0A1I7RJ71_BURXY	pdb6tfb	0	nan
I0QYP7_9GAMM	pdb2lnu	0	0.01
BxCYP33C4_1	pdb3hbd	0	0.118
Bx_cpl_1_5	pdb2llf	0	0.189
I4N5X7_9PSED	pdb7jyz	0	0.011
BxCYP33D3_3	pdb6pqm	1	0.705
BxPel1_4	pdb6prp	0	0.005
A0A1I7RIV0_BURXY	pdb2lv2	0	0.003
cyp_33C9_5	pdb2luz	0	0.221
A0A060N411_BURMU	pdb2m01	0	0.001
SapB3_4	pdb2lo0	0	nan
Bx_Prx_2	pdb2l8v	0	0.028
BxSapB1_3	pdb2n66	0	0.07
I0QM84_9GAMM	pdb2mm6	0	0.072
A0A1I7S161_BURXY	pdb1qyc	0	nan
BxATG9_2	pdb2ltl	0	0.164
BxCYP33C9_5	pdb2l05	0	0.123
BxCYP33C4_2	pdb2ksh	0	0.18
Bx_tlp_1_3	pdb2lgh	1	0.93
BxATG9_1	pdb6tfb	0	nan
A0A1I7RKV3_BURXY	pdb6j4i	0	0
A0A1I7S162_BURXY	pdb2kpn	0	0.002
cyp_33C9_3	pdb2lnz	0	nan
Bx_cpl_3_3	pdb2lxu	1	0.897
Bx_tlp_1_5	pdb7c1m	0	nan
A0A1I7S161_BURXY	pdb3sdq	0	0
A0A1I7S161_BURXY	pdb2lmd	0	0
I4MYK4_9PSED	pdb2m16	0	0.107
A0A1I7RL37_BURXY	pdb3hbd	0	0.347
I4N8B0_9PSED	pdb6amv	0	0.036
BxATG9_4	6dxa	0	nan
I0QNA0_9GAMM	pdb2lxu	0	0.013
cyp_33C9_5	pdb5z55	0	0.139
BxCYP33C9_1	pdb2ljl	0	0.352
A0A1I7SCF8_BURXY	pdb7sxb	1	0.935
I0QYP7_9GAMM	pdb2lml	0	0.005
I4N4M3_9PSED	pdb7wcg	0	0.001
BxATG1_2	pdb5uke	0	0
BxATG16_2	pdb2kzx	0	0.006
A0A1I7RT14_BURXY	pdb2kzw	0	0.001
cyp_33C9_3	pdb7wcg	0	0.204
BxCYP33C9_3	pdb2m16	0	0
BxPel1_3	7mzw	0	0.006
BxCYP33C9_5	pdb6pqm	0	0.089
A0A1I7SF60_BURXY	pdb2l0a	0	0
I4N0B6_9PSED	pdb2ksi	0	0.019
BxCYP33C9_2	pdb7x5c	0	0.311
SapB3_4	pdb6xr7	0	0.011
A0A1I7SCA3_BURXY	pdb2ma6	0	0
SapB3_1	pdb6iwj	0	nan
cyp_33C9_1	pdb3sdr	1	0.915
SapB3_2	pdb2lw4	0	0.036
BxSapB1_2	pdb2kim	1	0.515
BxCYP33D3_3	pdb1qyc	0	nan
A0A1I7RKM9_BURXY	pdb2llf	0	0.347
BxATG8_2	pdb2kt8	0	0.015
SapB3_3	pdb2lek	0	0.396
I4N5T3_9PSED	pdb2m01	0	0.076
BxPel1_4	pdb5krw	0	0.003
A0A1I7RL37_BURXY	pdb3hbe	0	0.347
A0A1I7RYC6_BURXY	pdb7jyz	0	0.069
Bx_cpl_3_1	pdb2lxu	0	0.272
Bx_Prx_5	pdb2l3f	1	0.679
Bx_cpl_1_3	pdb3s9v	0	nan
BxATG9_4	pdb2kru	0	0.068
Bx_cpl_1_1	pdb7kix	0	0.023
SapB3_5	pdb6pq2	0	0.394
Bx_cpl_1_1	pdb2kzv	0	0.006
A0A1I7RKV3_BURXY	pdb2lni	0	0
A0A1I7RIV0_BURXY	pdb2ma5	0	0.002
BxATG9_3	pdb2l0d	0	0.021
BxCYP33C9_5	pdb2ko1	0	nan
BxPel1_4	pdb7n99	0	0.005
SapB3_5	pdb7c1m	0	nan
A0A1I7RL37_BURXY	pdb7kix	1	0.599
Bx_cpl_1_1	pdb2ltl	0	0.012
Bx_cpl_3_3	pdb2l3a	0	nan
A0A1I7S412_BURXY	pdb2nsx	0	nan
SapB3_1	pdb2kt8	0	0.035
BxATG16_1	pdb2lak	0	0
BxSapB1_3	pdb7mzz	0	0.102
BxCYP33C4_5	pdb3sdt	1	0.715
I0QQT8_9GAMM	pdb2l0d	0	0.01
cyp_33C9_1	pdb2l3a	0	nan
I0QMH2_9GAMM	pdb6xry	1	0.71
Bx_cpl_1_1	pdb6prq	0	0.016
BxPel1_4	pdb2l82	0	0.004
A0A1I7S162_BURXY	pdb5krw	0	0.001
I0QNA0_9GAMM	pdb1xes	0	nan
I4N5T3_9PSED	pdb2lv2	0	0.073
BxCYP33C4_2	pdb2lok	0	0.147
BxATG8_4	pdb1u0u	0	nan
Bx_tlp_1_2	6dxa	0	nan
A0A1I7RYC6_BURXY	pdb2lna	0	0.016
Bx_cpl_1_1	pdb2kzw	0	0.008
BxPel1_5	pdb2ko1	0	nan
A0A1I7RL37_BURXY	pdb2nsx	0	nan
BxATG1_5	pdb5ks6	0	0.13
BxATG16_2	pdb2kl6	0	0.003
BxATG1_4	pdb6iwj	0	nan
A0A1I7SF60_BURXY	pdb6pqm	0	0
Bx_cpl_2_3	pdb2kzw	0	0.181
SapB3_2	pdb7mzx	0	0.052
BxATG1_4	pdb2kkq	0	0
BxATG16_1	pdb1qyc	0	nan
BxATG9_5	pdb2lak	0	0.295
SapB3_3	pdb6lqz	0	0.267
Bx_cpl_2_1	pdb2ksi	0	0.079
Bx_cpl_2_3	pdb6pqm	0	0.269
BxCYP33D3_4	pdb2lso	0	0.052
BxPel1_1	6dxa	0	nan
BxATG16_1	pdb3hbh	0	0
BxATG8_1	pdb6o6w	0	0
Bx_Prx_4	pdb2lml	0	0.009
SapB3_2	pdb2ltd	0	nan
BxSapB1_4	pdb5krw	0	0.079
Bx_cpl_1_2	pdb2kwb	0	0.019
Bx_cpl_2_4	pdb3sdr	0	0.283
BxCYP33C4_3	pdb1u0u	0	nan
BxSapB1_3	pdb7jyn	0	0.303
Bx_cpl_3_3	pdb2kzx	1	0.918
Bx_cpl_3_5	pdb6pri	0	0.092
BxATG9_5	7mzw	1	0.511
cyp_33C9_5	pdb3sae	0	0.286
BxSapB1_5	pdb7c1m	0	nan
Bx_cpl_2_4	pdb2l7q	0	0.31
A0A1I7S9L6_BURXY	pdb5krw	0	0
cyp_33C9_4	pdb2mry	0	0.151
A0A7I8X2Z5_BURXY	pdb6lqz	0	0.001
Bx_cpl_3_5	pdb5nce	0	0.107
BxATG1_4	pdb2lnz	0	nan
cyp_33C9_3	pdb3hbd	0	0.212
BxCYP33C4_5	pdb2l82	1	0.65
BxCYP33C9_5	pdb6pq2	0	0.091
A0A1I7RKM9_BURXY	pdb8ftw	0	0.497
I4MYK4_9PSED	pdb2m8x	0	0.03
Bx_Prx_1	pdb1xet	0	nan
Bx_tlp_1_4	pdb5vso	1	0.887
BxATG9_2	pdb5kp0	0	0.128
I0QT18_9GAMM	pdb2kct	0	0.009
BxCYP33C9_1	pdb2nt1	0	nan
BxATG16_3	pdb7lns	1	0.962
Bx_tlp_1_4	pdb6pri	1	0.934
BxATG1_1	pdb8ftw	0	0.007
Bx_Prx_4	pdb8ftx	0	0.02
SapB3_1	pdb3sae	0	0.045
Bx_cpl_3_1	pdb6e4h	0	nan
Bx_cpl_1_1	pdb5ks6	0	0.013
Bx_tlp_1_3	pdb1qyc	0	nan
cyp_33C9_4	pdb2lfi	0	0.212
A0A7I8WZ01_BURXY	pdb2m47	0	0
A0A1I7RJ71_BURXY	pdb8ftw	0	0
BxCYP33C9_5	pdb2ma5	0	0.053
I4N5T3_9PSED	pdb7sxb	0	0.051
Bx_cpl_2_3	pdb2lso	0	0.193
I4N4M3_9PSED	pdb3hbe	0	0.001
A0A1I7SCA3_BURXY	pdb6jxu	0	0
SapB3_4	pdb7lu8	0	0.004
I0QMH2_9GAMM	pdb2ksh	1	0.555
BxATG9_3	pdb2lfi	0	0.025
I0QNP5_9GAMM	pdb7mzz	0	0.029
I0QYP7_9GAMM	pdb2lek	0	0.007
BxATG16_5	pdb7kix	0	0
SapB3_3	pdb5nce	0	0.438
BxATG1_3	pdb6amw	0	0.094
BxATG16_2	pdb2lek	0	0.005
BxSapB1_5	pdb7mzx	0	0.149
SapB3_5	pdb2m1l	0	nan
BxATG9_1	pdb2lnz	0	nan
BxCYP33C4_1	pdb7lns	0	0.225
BxCYP33C4_4	pdb6wlf	0	nan
BxATG9_1	pdb1qyc	0	nan
I0QT18_9GAMM	pdb5nce	0	0.015
BxPel1_4	pdb6cgh	0	0.005
